name,iso3,isoNumber
AALAND ISLANDS,ALA,248
AFGHANISTAN,AFG,004
ALBANIA,ALB,008
ALGERIA,DZA,012
AMERICAN SAMOA,ASM,016
ANDORRA,AND,020
ANGOLA,AGO,024
ANGUILLA,AIA,660
ANTARCTICA,ATA,010
ANTIGUA AND BARBUDA,ATG,028
ARGENTINA,ARG,032
ARMENIA,ARM,051
ARUBA,ABW,533
AUSTRALIA,AUS,036
AUSTRIA,AUT,040
AZERBAIJAN,AZE,031
BAHAMAS,BHS,044
BAHRAIN,BHR,048
BANGLADESH,BGD,050
BARBADOS,BRB,052
BELARUS,BLR,112
BELGIUM,BEL,056
BELIZE,BLZ,084
BENIN,BEN,204
BERMUDA,BMU,060
BHUTAN,BTN,064
BOLIVIA,BOL,068
BOSNIA AND HERZEGOWINA,BIH,070
BOTSWANA,BWA,072
BOUVET ISLAND,BVT,074
BRAZIL,BRA,076
BRITISH INDIAN OCEAN TERRITORY,IOT,086
BRUNEI DARUSSALAM,BRN,096
BULGARIA,BGR,100
BURKINA FASO,BFA,854
BURUNDI,BDI,108
CAMBODIA,KHM,116
CAMEROON,CMR,120
CANADA,CAN,124
CAPE VERDE,CPV,132
CAYMAN ISLANDS,CYM,136
CENTRAL AFRICAN REPUBLIC,CAF,140
CHAD,TCD,148
CHILE,CHL,152
CHINA,CHN,156
CHRISTMAS ISLAND,CXR,162
COCOS (KEELING) ISLANDS,CCK,166
COLOMBIA,COL,170
COMOROS,COM,174
CONGO Democratic Republic of (was Zaire),COD,180
COOK ISLANDS,COK,184
COSTA RICA,CRI,188
COTE D'IVOIRE,CIV,384
CROATIA (local name: Hrvatska),HRV,191
CUBA,CUB,192
CYPRUS,CYP,196
CZECH REPUBLIC,CZE,203
DENMARK,DNK,208
DJIBOUTI,DJI,262
DOMINICA,DMA,212
DOMINICAN REPUBLIC,DOM,214
ECUADOR,ECU,218
EGYPT,EGY,818
EL SALVADOR,SLV,222
EQUATORIAL GUINEA,GNQ,226
ERITREA,ERI,232
ESTONIA,EST,233
